country_name,Nov2021
United Arab Emirates,742041.0
Argentina,5330748.0
Austria,1159995.0
Azerbaijan,588318.0
Belgium,1766035.0
Bangladesh,1576284.0
Bulgaria,695057.0
Belarus,654718.0
Bolivia,537559.0
Brazil,22094459.0
Canada,1800867.0
Switzerland,1014662.0
Chile,1762751.0
Colombia,5069644.0
Costa Rica,566839.0
Cuba,962486.0
Czech Republic,2150042.0
Germany,5923564.0
Ecuador,526870.0
Spain,5164184.0
France,7486179.0
United Kingdom,10228772.0
Georgia,845643.0
Greece,938903.0
Guatemala,617984.0
Croatia,608205.0
Hungary,1103108.0
Indonesia,4256409.0
India,34596776.0
Ireland,570115.0
Iran,6117445.0
Iraq,2081172.0
Israel,1343660.0
Italy,5028547.0
Jordan,953943.0
Japan,1726636.0
Kazakhstan,1054972.0
Lebanon,670656.0
Sri Lanka,563989.0
Morocco,949917.0
Mexico,3884566.0
Myanmar,522402.0
Malaysia,2632782.0
Netherlands,2643176.0
Nepal,821366.0
Pakistan,1285254.0
Peru,2236351.0
Philippines,2832734.0
Poland,3540061.0
Portugal,1147249.0
Romania,1779667.0
Russia,9468640.0
Saudi Arabia,549752.0
Serbia,1254845.0
Slovak Republic,1170200.0
Sweden,1204859.0
Thailand,2115872.0
Tunisia,717572.0
Turkey,8797558.0
Ukraine,3606622.0
United States,48560466.0
Vietnam,1238082.0
South Africa,2968052.0
